mod_input_final,mod_input_raw,dat_output,check,accum_op,accum_op_class,source_file,variable_description
comid,COMID,comid,NA,none,NONE,NA,Unique segment identifier used in NHDPlus V2.
comid_wy,COMID_WY,comid_wy,NA,none,NONE,NA,Unique segment identifier used in NHDPlus V2.
wa_yr,WaYr,wa_yr,NA,none,NONE,NA,water year
ppt_jan_wy,ppt_Jan.wy,ppt_jan_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,"PRISM derived, 1945-2015"
ppt_feb_wy,ppt_Feb.wy,ppt_feb_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_mar_wy,ppt_Mar.wy,ppt_mar_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_apr_wy,ppt_Apr.wy,ppt_apr_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_may_wy,ppt_May.wy,ppt_may_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_jun_wy,ppt_Jun.wy,ppt_jun_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_jul_wy,ppt_Jul.wy,ppt_jul_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_aug_wy,ppt_Aug.wy,ppt_aug_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_sep_wy,ppt_Sep.wy,ppt_sep_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_oct_wy,ppt_Oct.wy,ppt_oct_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_nov_wy,ppt_Nov.wy,ppt_nov_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_dec_wy,ppt_Dec.wy,ppt_dec_wy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_jan_pwy,ppt_Jan.pwy,ppt_jan_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_feb_pwy,ppt_Feb.pwy,ppt_feb_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_mar_pwy,ppt_Mar.pwy,ppt_mar_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_apr_pwy,ppt_Apr.pwy,ppt_apr_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_may_pwy,ppt_May.pwy,ppt_may_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_jun_pwy,ppt_Jun.pwy,ppt_jun_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_jul_pwy,ppt_Jul.pwy,ppt_jul_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_aug_pwy,ppt_Aug.pwy,ppt_aug_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
ppt_sep_pwy,ppt_Sep.pwy,ppt_sep_pwy,NA,area weighted avg,AWA,PPTYYYY_CAT_CONUS.csv,PRISM derived
tav_jan_wy,tav_Jan.wy,tav_jan_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_feb_wy,tav_Feb.wy,tav_feb_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_mar_wy,tav_Mar.wy,tav_mar_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_apr_wy,tav_Apr.wy,tav_apr_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_may_wy,tav_May.wy,tav_may_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_jun_wy,tav_Jun.wy,tav_jun_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_jul_wy,tav_Jul.wy,tav_jul_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_aug_wy,tav_Aug.wy,tav_aug_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_sep_wy,tav_Sep.wy,tav_sep_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_oct_wy,tav_Oct.wy,tav_oct_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
tav_nov_wy,tav_Nov.wy,tav_nov_wy,NA,area weighted avg,AWA,TAVYYYY_CAT_CONUS.csv,PRISM derived
